timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1696433367380,219,HTTP Request,200,OK,Thread Group 1-1,text,true,,15435,151,22,22,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,218,0,1
1696433367403,200,HTTP Request,200,OK,Thread Group 1-3,text,true,,15435,151,22,22,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,197,0,1
1696433367429,193,HTTP Request,200,OK,Thread Group 1-6,text,true,,15435,151,25,25,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,190,0,1
1696433367391,251,HTTP Request,200,OK,Thread Group 1-2,text,true,,15435,151,27,27,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,249,0,0
1696433367414,232,HTTP Request,200,OK,Thread Group 1-4,text,true,,15435,151,27,27,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,228,0,0
1696433367424,225,HTTP Request,200,OK,Thread Group 1-5,text,true,,15435,151,27,27,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,224,0,0
1696433367441,247,HTTP Request,200,OK,Thread Group 1-7,text,true,,15435,151,31,31,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,245,0,1
1696433367604,84,HTTP Request,200,OK,Thread Group 1-3,text,true,,15435,151,31,31,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,84,0,0
1696433367454,235,HTTP Request,200,OK,Thread Group 1-8,text,true,,15435,151,30,30,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,235,0,0
1696433367604,91,HTTP Request,200,OK,Thread Group 1-1,text,true,,15435,151,31,31,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,90,0,0
1696433367503,252,HTTP Request,200,OK,Thread Group 1-13,text,true,,15435,151,36,36,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,250,0,1
1696433367631,131,HTTP Request,200,OK,Thread Group 1-6,text,true,,15435,151,36,36,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,124,0,0
1696433367493,273,HTTP Request,200,OK,Thread Group 1-12,text,true,,15435,151,36,36,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,269,0,0
1696433367474,293,HTTP Request,200,OK,Thread Group 1-10,text,true,,15435,151,36,36,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,292,0,1
1696433367464,304,HTTP Request,200,OK,Thread Group 1-9,text,true,,15435,151,36,36,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,303,0,0
1696433367647,122,HTTP Request,200,OK,Thread Group 1-4,text,true,,15435,151,37,37,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,121,0,0
1696433367520,249,HTTP Request,200,OK,Thread Group 1-15,text,true,,15435,151,37,37,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,249,0,1
1696433367642,128,HTTP Request,200,OK,Thread Group 1-2,text,true,,15435,151,36,36,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,127,0,0
1696433367650,121,HTTP Request,200,OK,Thread Group 1-5,text,true,,15435,151,35,35,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,120,0,0
1696433367690,82,HTTP Request,200,OK,Thread Group 1-8,text,true,,15435,151,34,34,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,81,0,0
1696433367688,85,HTTP Request,200,OK,Thread Group 1-7,text,true,,15435,151,33,33,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,84,0,0
1696433367510,265,HTTP Request,200,OK,Thread Group 1-14,text,true,,15435,151,32,32,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,263,0,1
1696433367561,289,HTTP Request,200,OK,Thread Group 1-19,text,true,,15435,151,40,40,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,285,0,0
1696433367755,99,HTTP Request,200,OK,Thread Group 1-13,text,true,,15435,151,40,40,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,96,0,0
1696433367581,307,HTTP Request,200,OK,Thread Group 1-21,text,true,,15435,151,42,42,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,278,0,0
1696433367631,257,HTTP Request,200,OK,Thread Group 1-26,text,true,,15435,151,42,42,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,257,0,1
1696433367769,119,HTTP Request,200,OK,Thread Group 1-15,text,true,,15435,151,42,42,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,119,0,0
1696433367767,124,HTTP Request,200,OK,Thread Group 1-10,text,true,,15435,151,41,41,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,122,0,0
1696433367589,303,HTTP Request,200,OK,Thread Group 1-22,text,true,,15435,151,42,42,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,302,0,1
1696433367614,278,HTTP Request,200,OK,Thread Group 1-24,text,true,,15435,151,41,41,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,278,0,1
1696433367550,342,HTTP Request,200,OK,Thread Group 1-18,text,true,,15435,151,41,41,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,342,0,1
1696433367544,348,HTTP Request,200,OK,Thread Group 1-17,text,true,,15435,151,41,41,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,348,0,0
1696433367571,322,HTTP Request,200,OK,Thread Group 1-20,text,true,,15435,151,41,41,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,322,0,1
1696433367532,361,HTTP Request,200,OK,Thread Group 1-16,text,true,,15435,151,41,41,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,361,0,0
1696433367768,125,HTTP Request,200,OK,Thread Group 1-9,text,true,,15435,151,41,41,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,125,0,0
1696433367766,127,HTTP Request,200,OK,Thread Group 1-12,text,true,,15435,151,41,41,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,127,0,0
1696433367604,290,HTTP Request,200,OK,Thread Group 1-23,text,true,,15435,151,39,39,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,290,0,0
